estado,inicio,varinicio,varfim,ID,;,int,real,lit,leia,escreva,Literal,Num,RCB,OPM,se,(,),entao,OPR,fimse,fim,enquanto,faca,fimenquanto,$,P’,P,V,A,LV,D,TIPO,ES,ARG,CMD,LD,OPRD,COND,CABECALHO,CORPO,EXP_R,CORPO,REP,CORPO_ENQUANTO
0,S2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,ACCEPT,,,,,,,,,,,,,,,,,,,
2,,S(4),,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
3,,,,S(26),,,,,S(19),S(21),,,,,S(41),,,,,,S(18),S(49),,,,,13,,,,,,14,,15,,,16,40,,,,17,
4,,S(7),,S(8),,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,
5,,,,R(3),,,,,R(3),R(3),,,,,R(3),,,,,,R(3),R(3),,,,,,,,,,,,,,,,,,,,,,
6,,,S(7),S(8),,,,,,,,,,,,,,,,,,,,,,,,,,9,6,,,,,,,,,,,,,
7,,,,,S(36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,S(10),S(11),S(12),,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,
9,,,,R(4),S(37),,,,R(4),R(4),,,,,R(4),,,,,,R(4),R(4),,,,,,,,,,,,,,,,,,,,,,
10,,,,,R(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,R(8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,R(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,R(2),,,,,,,,,,,,,,,,,,,
14,,,,S(26),,,,,S(19),S(21),,,,,S(41),,,,,,S(18),S(49),,,,,,,54,,,,14,,15,,,16,40,,,,17,
15,,,,S(26),,,,,S(19),S(21),,,,,S(41),,,,,,S(18),S(49),,,,,,,55,,,,14,,15,,,16,40,34,,,17,
16,,,,S(26),,,,,S(19),S(21),,,,,S(41),,,,,,S(18),S(49),,,,,,,56,,,,14,,15,,,16,40,,,,17,
